1,2,3
"['不快', '多い', 'ない', 'ない', '不快', '普通']","['違う', 'する', 'する', 'ある', '覚える', 'ある', '空回り', 'する', '経験', '聞く', 'ある', '出る', '思う', '受ける', '接す', 'する']","['相手', '相手', '思い', '人', '責任', '相手', '内容', 'どちら', '自分', '人', '社交', '言動']"
['いい'],['かんじる'],[]
"['些細', '悪い', '無害', '善良', '多い', '慎重', '良い', '物静か', '大事']","['ある', 'そこねる', 'とる', 'ある', 'おもう', '受ける', '目立つ', '関わる', 'する', 'おもう']","['行き違い', '相手', '機嫌', '態度', '基本', '物言い', '人並み', '責任', '物事', '態度', 'バランス', '感じ', '受け身', '物言い', '印象', '人', '自分', '世界']"
[],[],[]
"['人懐っこい', '大胆', '慎重']","['感じる', '感じる', 'ある', 'ある', '約束', '守る', 'ある', '思う', '思い立つ', '行動', 'する', 'ある', '知る', '打ち解ける', 'できる']","['両方', '全般', 'ユーモア', 'キャラ', '振る舞い', '根', 'タイプ', '行きつけ', '居酒屋', '人', 'タイプ']"
"['ない', '軽率', 'ない', '悪い']","['言う', '思う', '浮かぶ', '行動', 'する', '思える', '思う']","['他人', '社交', '具体', '事例', '何事', 'やる気', '人付き合い']"
[],[],[]
"['ない', '気安い', 'ない', 'ない', '多い']","['話す', '利用', 'する']","['誰', '友人']"
[],['ある'],[]
"['普通', '普通']","['つきあう', '仕事', 'する', '仕事', 'する', '考える', '行動', 'する']","['自分', '人間', '人']"
['多い'],"['する', 'よる', '対する', '変わる', 'やる', '言う', 'やりとげる', '付く', 'よる', '対する', 'よる']","['人', '物', '対象', '人', '感じ', '文句', '物音', '異変', '気', '人', '物', '人']"
['慎重'],['思う'],['どちら']
['いい'],"['おもう', 'おもう']",[]
[],"['知る', '関わる', '知る', '思う', '知る']",[]
['ない'],['解答'],[]
"['広い', 'ない']","['特定', 'いう', '読める', '挑戦', '選ぶ']","['人', '外面', '空気', '人']"
[],[],[]
"['怖い', '頼り', '早い']","['考える', '出来る', '一見', '見える', 'する', '考える', '行動', 'なれる']","['立場', 'デメリット', '誰']"
"['ダメ', '優しい', '丁寧']","['ある', '教える', '笑う', '困る', '悩む', '意見', '聞く', 'なる', 'いえる', 'わかる', '打ち解ける']","['子供', '人', 'どちら', '初対面']"
"['特別', 'ない']","['ある', '解決', 'する']","['何', '何']"
"['いい', '速い']","['ある', '行動', 'する', '抜ける', '行動', '話', '会える', '会える']","['感じ', '責任', '誰']"
[],[],"['私', '対極', '性格']"
[],"['行く', '怒る']","['自分', '風俗']"
[],[],[]
[],['やる'],[]
[],[],[]
[],[],[]
"['明るい', 'よい', '早い']","['考える', '片付ける', '買物', 'する', '思い込む', 'いける']","['子ども', '誰', 'タメ']"
['正直'],"['する', '仕事', '運転', '内向', '関係', '満足', 'する']",['気']
"['良い', 'ない', '多い']","['立ち止まる', '考える', 'ある', '率先', 'する', '作成', 'する', 'する']","['当たり', '何事', '保育園', '卒', '友達', '誰', 'フレンドリー']"
[],"['信頼', 'できる', 'チャレンジ', 'ある']",['精神']
[],"['喋る', 'する']","['誰', '人見知り']"
[],"['変わる', 'ある', '約束', '守る', '経営', '飲食', '経営', 'する', 'やる']",['感じ']
"['穏やか', '真面目', '普通']",['する'],"['性格', '消極']"
[],[],[]
"['広い', '狭い', 'ない']","['思う', 'つきあう', '考える', '病気', '辞める']","['自分', '会社']"
"['広い', '悪い', 'ない', '素敵', '悪い']",['たつ'],['床']
"['可愛い', '失礼', '慎重']","['する', '許せる', 'する', '行動', 'する']","['自分', '私', '社交']"
[],[],[]
"['ない', 'やさしい', '広い']","['怒る', '見る', 'チャレンジ', 'する', '関係']","['あまり', '交友']"
"['広い', 'すごい', '良い', '強い', '慎重', '積極']","['みる', 'しれる', '思い切る', 'できる', 'ある']","['誰', '心', '私', '感じ', '周り', '感じ', 'い', '責任', '人', '人', '基本', '人', '自分', '興味', '社交', '人間']"
"['良い', '優しい', '無駄', '慎重']","['投げ出す', '思う', '思考', '予想', 'する', 'ある', 'ある', '居る']","['当たり', '他人', 'どちら', '面', '友人', 'それなり']"
"['強い', '穏やか', '堅実']","['忍耐', '思う', '仕事', '頑張る', '頑張る', '思う', 'する', '思う']","['家事', '人見知り']"
"['ない', '真面目', '優しい', '良い', '偏屈', '慎重', '控え目']","['受け入れる', '覚える', '思う', 'なる', 'ある', 'なる', 'する', '言う', '要望', '応える', '行動', 'する', 'ある', '黙る', '行動', '移す', '上がる', 'なる', '言う', '引く']","['大概', '相手', '怒り', '感じ', 'そこ', '相手', '基本', '思い付き', 'タイプ', '年齢', 'どちら', 'タイプ']"
"['そっけ', '几帳面', '慎重', '良い']","['思う', 'ある', '仕事', '終わる', '確認', 'する', '思う', 'なる', '離す', 'なる', 'わかる']","['身内', '人', '態度', '期日', '人', '子供', '社交', '大人', 'パーソナル', '部分', '社交', '部分']"
"['良い', '誠実', '慎重', '良い', '良い']",[],['笑顔']
['多様'],[],"['バリエーション', 'シチュエーション', 'シチュエーション', 'バリエーション', 'シチュエーション']"
"['狭い', '悪い', '軽率']",[],"['心', '感じ', '消極', '社交']"
